S_no,Name,HouseNumber,Street,Room Type,Rent/Month,Distance from University of Salzburg ,Distance from Techno Z ,Longitude,latitude
1,International College,10,"Billrothstrasse, 5020 Salzburg, Austria","Single room , Single room in shared flat with 2/3 people, double share room",250 - 365,4 Km,7 Km,13.0419,47.4644
2,Katharina Von Bora,10,"Dr. Altmannstrasse, 5020 Salzburg, Austria","Single room, Double room, triple room",250 - 300,3.7 Km,6.3 Km,13.0241,47.4644
3,die WG,2,"Saint-Julian-Strasse, 5020 Salzburg, Austria","Single apartmnet, two-room apartment, three-room apartment",420 - 490,3 Km,1.6 Km,13.0217,47.4837
4,Franz Von Sales Kolleg,11,"Robert Preussler Strasse, 5020 Salzburg, Austria ","Single room , Single room in shared flat with 2/3 people, double share room",265 - 400,4.8 Km,7.5 Km,13.0424,47.4618
5,Europa Kolleg,28,"Robert Preussler Strasse , 5020 Salzburg, Austria","Single room , Single room in shared flat with 2/3 people, double share room",290 - 420,4.8 Km,7.4 Km,13.0421,47.462
6,Haus Paracelsus,10,"Konrad Laib Strasse, 5020 Salzburg, Austria","Single room, Single room with balcony, Studio Apartment with balcony",300 - 400,3 Km,5.6 Km,13.0342,47.4714
7,KolpingHaus,10,"Adolf Kolping Strasse, 5020 Salzburg, Austria","Single room , Double room",400 - 550,4.2 Km,1.1 Km,13.0212,47.4917
8,LehrerHaus,9,"Hegigasse, 5020 Salzburg, Austria","Single room, double room, Single room in shared apartment with 4 people",365 - 380,3.8 Km,6.5 Km,13.02,47.4733
9,Paris Lodron Studentheim,36,"Schallmooser Hauptstrasse, 5020 Salzburg, Austria","Single room large, Single room small, Double sharing room",240 - 340,3.6 Km,4.6 Km,13.0322,47.4823
10,Ojab Haus,1,"Strubergasse, 5020 Salzburg, Austria","Single room, Double share room",250 - 280,3.5 Km,2.3 Km,13.0206,47.4832
11,Studentheim Leonardo,20,"Rocklbrunnstrasse, 5020 Salzburg, Austria","Single room large, Single room small, Double sharing room",385 - 450,3.5 Km,4.9 Km,13.0345,47.4843
12,Techno Z studentheim,30,"Schillerstrasse, 5020 Salzburg, Austria",Single room,From 430 ,4.2 Km,400 m,13.0225,47.4924
13,Haus Humboldt,3,"Egger Leinz Gasse, 5020 Salzburg, Austria","Single room, Studio Apartment",300 - 370,3.9 Km,6.6 Km,13.0423,47.4655
14,Mozart Studentheim,19,"Faberstrasse, 5020 Salzburg, Austria","Single room large, Single room small, Double sharing room",300 - 450,2.9 Km,1.9 Km,13.0235,47.4829
15,Haus Merian,40,"Merianstrasse, 5020 Salzburg, Austria","Single room small, Single room large",245 - 250,3.5 Km,2.1 Km,13.0249,47.4842
16,PMU dormitory,11,"Gaswerkgasse, 5020 Salzburg, Austria",Single room,380 - 470,3.2 Km,2.1 Km,13.0157,47.4835
17,Studentheim Hohensalzburg,9,"Bergstraße, 5020 Salzburg, Austria","Single room , double room",200 - 350,2.2 Km,4.3 Km,13.0244,47.4811
18,Akademikerhilfe Studentenheim - Schwarzes Rössl ,6,"Priesterhausgasse, 5020 Salzburg, Austria","Single room, Double room",From 280,2 Km,2.5 Km,13.0245,47.4811
19,home4students Glockengasse -,4B,"Glockengasse, 5020 Salzburg, Austria","Single room, Double room",270 - 390,4.3 Km,2.8 Km,13.0257,47.4815
20,Verein Dr Franz Rehrl Studentenheim -,14,"Petersbrunnstraße, 5020 Salzburg, Austria",Single room,280 - 300,1.5 Km,4.2 Km,13.0305,47.474
